Indonesia,Simalungun
rasa panas kapur,latak
rasa panas kapur (di mulut),latak
rasa tembakau,ngida
rata,"hanopan, mapan, tampak"
"rata, datar",hanopan
ratap,"andui, lidung"
ratus,ratus
raung,doruh
raung; ; mandoruh-- jerit,doruh
raut,alis
rawa,"bawang, rawang"
rayap,hapang
rebah,"lepet, marumbak, reong, rung"
rebah rumbun,marumbak 
rebung,ruhup
rebus,bolgang
rebut,taja
recok,luetu
reda,rondoh
reda (tentang marah dan sebagainya),rondoh
rejeki,dohar
rekat,lohat
rekat; melekat,lohat
remas,"gamol, pitil, ponjal"
remeh,"elel, eles, mangapas, mangapas "
rempah,"baubauan, hamangei, rompah"
rempah rempah,baubauan
rempah- rempah,hamangei
rencana,ragam
rendah,"dalnat, darsat, loblob"
rendam,"ambei, ronjam"
rendang jagung,riprip
renggang,"ganggang, ronggang"
rerumputan,duhut
resah,"bulissah, gesa, hose, mengas"
resah; gelisah dan tidak tenang; gugup; rusuh hati,mengas
resam,"arsan, sampilpil"
retak,"rogang, rogat, rotak, sikah, siltag, sirgang, sorah, taes"
retas,tastas
ribu,ribu
ribut,"bisang, dengar, geor, gibang, gosou, ingar, ribut"
ribut; bising,bisang
ribut-ribut,gebeg
rimah,rimah
rimah (nasi),rimah
rimbang,rimbang
rimbun,"gotab, hotab, rumbun, tabun"
ringan,"hampung, happung, lajab, layab"
rintangan,hangalan
rintih,inih
rintis,"rintis, rontos"
riuh,"hulitik, humalitik"
robek,"bangbang, sirak"
roboh,rumbak
roda,galapang
rodi,saro
roh,tondui
rokok,rohok
rombongan,hulanan
rombongan; ,hulanan
ronda,runda
rotan,"hotang, sihotang"
rotan yang sudah,timuk
rotan yang sudah tua,timuk
roti,roti
roti,"roti, ruti"
ruang depan,atar
ruas,buhu
rugi,rugi
rukam,tanggulon
rumah,"bagas, bolon, jabu, parmingguan, partonunan, rumah"
rumah gereja,parmingguan 
rumbai kain,rambu
rumput,"poyon, salohot"
rumput yang,dampal
rumput yang tebal,dampal
runcing,"binjung, marot, minsur, pinjung"
rupanya,hapeni
rusa,ursa
rusak,luhou
rusak karena habis,ripas
rusak karena habis dimakan ulat,ripas
rusuh,"gusuh, rusuh"
rusuk,rusuk
ruyung,pangkuh
"ruyung(kayukerasdaribatangenau,kelapauntuktangkaipaculatausula)",pangkuh
ry cemas,gobir
saat,taram
sabar,sabar
sabit,"rabi, sabi"
Sabtu,sabat
sabun,sabun
sabut,sabut
sadap,"agad, deres"
saduran,logam
sagu,sagu
saja,dassa
sakit,"boit, magin, mayong, rongam"
sakit (tulang),oyang
sakit kepala,libog
sakit kepala; pening,libog
sakit kulit,hodal
sakit kulit;  sakit kulit,hodal
sakit mata,halimata
sakit mata (mata merah),halimata
sakit parah,haleihei
sakit parah yang sudah lama  sehingga tidak bisa lagi bergerak,haleihei
sakit yang berdenyut-denyut,rongam
salah,"jehet, lepak, mardompak, pipol, salah, singkal"
salah cabut,tardogdogi 
salah duga,edar
salah satu,Sipayung
salah satu alat,sidok
salah satu alat untuk bertenun,sidok
salah satu gelar dalam kesultanan,datok
salah satu marga Simalungun,"Sidamanik, Sipayung"
salah satu subsuku,Toba
salah satu subsuku Batak,Toba
salah; jahat,jehet
"salah; tidak benar; tidak	tepat",lepak
salak,salabang
salam,jabat
salep,salep
salin,"alim, salin"
saling,"marsibunuhan, marsidalian, marsinokok, marsipanganan, marsipongkikan, marsitaruhkon"
saling berdekatan parhombaran n istilah yang dipakai dalam acara adat,"marhombar 
"
saling berdiri,"marjongjongan 
"
saling me,"marsibalbalan , marsiobogan "
saling melempar,marsigijigan
saling melihat,marsitonggoran 
saling mem,marsielekan 
saling memakan,"marsipanganan 
"
saling memanggil,"marsidiloan 
"
saling membalas,marsibalas 
saling membelakangi,"pudian 
"
saling memberi,"marsiberean 
"
saling membunuh,marsibunuhab
saling memu,marsipukulan 
saling men,"manisik rabrab , marsipongkikan "
saling mendahului,"marsilobeian 
"
saling menerima,marsijaloan 
saling meng,"marsiongonan , marsitaruhkon "
saling menga,marsinokok 
saling mengetahui,"marsibotohan 
"
saling menolak tanggung jawab,marsidalian 
sama,"bojan, dos, sabutak"
sama buruknya,sajuh
sama maknanya dengan: Desember aima bulan pasampuluh dua Desember sama dengan bulan kedua belas,aima
samar,"punggar, simou"
samar-samar,simou
sama-sama,bojan
sambal,giniling
sambar,tangkis
sambil,anjaha
sambung,"ampod, sambat, ubung"
"sambung (membuat kamar, dapur, atau teras bagian dari rumah utama)",umbung
sambut,aloalo
sampah,"borsang, tompoh"
sampah daun,lamlam
sampah daun kering,lamlam
sampai,"das, padas, sahat, sampei"
sampai hati,"atok, pos"
sampan,sampan
sampan besar,sagur
sampan besar di sungai yang dapat mengangkut barang-barang yang dilengkapi dengan ruangan seperti kamar sebagai tempat berteduh,sagur
sampar,sampar
sana,jai
sandal,solop
sandar,sandei
sangat,"nget, rating"
sangat iri,milas
sangat takut,"bobor, burawan, rusak"
sanggul,sanggul
sanggup,"asup, seorang mengerjakan sesuatu 
 
tarkahua , tarkahua"
sangka,tugat
sangkar,tajan
sangkar ayam,sangkak
sangkuntukan,"hauthon, hauthon "
sangkut,"haut, sangkot"
sangkutan,"alapalap, sangkotan 
"
sangkutan; gantungan,alapalap
sangrai,soak
sangsi,bungbang
santan,santan
sapaan,dahkam
sapaan kepada orang yang lebih tua dari pada kita tanpa mem- bedakan jenis kelamin,dahkam
sapih,ampul
sapu,"apus, asei, hasei, sapu, tunila"
sapu lidi yang,labuh
sapu lidi yang diikat,labuh
sarang,asar
sarang burung,dauk
saring,sayoh
saringan,tapis
saringan tapongan [tapoGan] n bakul taptap [taptap] a basah,tapis
sarung,sarung
sate,satei
satu,"sada, sangkibul, sarangguan, sirang"
satu kali,moug
satu marga Simalungun sidanggir-danggor [sidaggirdaggor] n gong yang besar:,Sidamanik
satu per satu,hat
satu sama,dudang
satu sama lain,dudang
satu usaha agar suami istri saling membenci sehingga bercerai terlerai,sirang 
saudara,sanina
saudara laki,tulang
saudara laki- laki ayah,amburu
saudara laki- laki ibu,tulang
saudara perempuan (dari pihak ayah),ambul
saudara perempuan (kakak dan adik perempuan ayah),amboru
saudara semarga,haha
sawah,"gaduh, sabah"
sawi,sawi
sawo,saoh
sayang,"holong, soya, unjah"
sayap,habong
sayat,sayat
sayatan,sayaton
sayur,"leo, lompah, lowoh"
sayur;lauk,lompah
sayur-mayur,lowoh
se,"pangkorhon, pipis"
se- suatu yang merupakan akhir atau hasil suatu peristiwa,pangkorhon
seandainya: asal porsaya ia seandainya dia percaya,asal
sebagian,deba
sebangsa,potei
sebangsa keladi,lambok
sebar,segei
sebatang,sangka
sebatang kara,gampa
sebau,sabau
sebelah,"hait, jahei, lopah, sambolah"
sebelah hilir,haen
sebelah hilir sebelah bawah,haen
sebelah menyebelah,angkup
sebenarnya,"namin, naninei"
seberang,dipar
seberapa,jalo
sebiji,sangkamata
sebut,"sobut, suligor"
sebutan,partongah
sebutan orang,sibayak
sebutan orang Simalungun kepada raja-raja dari tanah Karo,sibayak
sebutan pada bayi me,ngal
sebutan pada bayi me- nangis yang tidak mengeluar- kan suara,ngal
sebutan untuk,"eda, motol, nandok, neang, nei"
sebutan untuk anak yang mulai belajar ber- jalan,nandok
sebutan untuk anak-anak yang baru belajar bicara untuk mengatakan cantik,neang
sebutan untuk raja-raja,partongah
sebutan untuk saudara perempuan dari suami,eda
sebutan untuk tanaman yang tumbuhnya tidak subur,motol
sedak,singgok
sedang,"sanggah, sodang, tingki"
sedang kehausan,"horahan 
"
sedang mencari,torih 
sedia,"ambang, ranggak, tagam, tanggek"
sedih,"dagei, usat"
sedih / kecewa,pusok ni uhur 
sedikit,"hutik, murtik, onil, oning, otil, oting, renjeng, ris, sandut"
sedikit manis,damol
sedikit sekali,gintil
sedikitkan,paotik 
sedikit-sedikit,murtik
sedu,"ihik, sombop"
segan,"malang, mayang, sogan"
segandeng,"sakanting, sakanting "
segar,togas
segumpal,"sagumbal, salempeng, salempeng "
sehari,sadari
sehat,"hipas, jorgit, torkis"
sehingga,ronsi
seia sekata,sahata 
sejauh,sadaoh
sejenis,"ampiarawas, ampipira, andalotung, andatang, andurman, anggogoh, anggurisa, angkirbung, balaborngin, balikangin, baneibatu, baneipora, bangkuya, batarsiang, epok, gaenggang, galinggang, gigian, halimaga, harahkah, hatiboran, hatilandou, hupi, huramah, inggal, lamajang, lape, longadei, ramboan, ringguguh, sampilutut, sampinur, sampulelet, sanduduk, sibalingse, sibunbun, tarahuak, taruhuah, tutuhuyon, ulei"
sejenis  burung,ampuk
sejenis  tumbuhan daunnya berasa asam,antik
sejenis  ubi kayu besar,antirha
sejenis alat penganyam benang,sorha
sejenis bambu,hupa
sejenis bambu (licin dan tidak banyak miangnya) yang digunakan untuk tempat menulis pada zaman dahulu di daerah batak,hupa
sejenis batu,baragu
sejenis belalang,bangkuya
sejenis bina,pogong
sejenis bina- tang yang hidup dalam air (bukan ikan) biasa hidup di sawah,pogong
sejenis binatang,"ansog, tungir"
sejenis binatang kecil,liotliot
sejenis binatang yang kecil,tungir
sejenis buah,"gorat, putat"
sejenis buah bacang,"gorat, halam"
sejenis buah bergetah dan getahnya biasa digunakan untuk obat,putat
sejenis buah seperti langsat,jontikon
"sejenis bunga, dapat dibuat ramuan obat-obatan",sibalingse
sejenis burung,"ampuk, andurman, anggogoh, angkolir, antarsih, baragi, duhduh, hetung, manuk, piduk, porling, sayu, sibigou, siburuk, tualu, ui"
sejenis burung berekor panjang,sayu
sejenis burung enggang,anggurisa
"sejenis burung pemakan serangga dan terbang- nya tidak jauh, selalu dicari tabib untuk diambil minyaknya menjadi obat terkilir atau patah tulang",siburuk
sejenis burung yang,"etet, usog"
sejenis burung yang dapat dijadikan obat keseleo,duhduh
sejenis burung yang memakan belalang,etet
sejenis burung yang memakan padi di sawah,usog
sejenis cacing kecil yang,it
sejenis cacing kecil yang terdapat dalam air,it
sejenis cangkul (alat pertanian),jungkar
sejenis daun,arob
sejenis daun tumbuhan,jobit
sejenis daun yang,topu
sejenis daun yang dapat dijadikan sayur,topu
sejenis daun-daunan,arob
sejenis gelang untuk anak-anak,longadei
sejenis hidangan,rajung
sejenis hidangan yang telah disiapkan,rajung
sejenis ikan,"bujuk, halui, mirik, momah"
sejenis ikan jurung,insor
sejenis ikan lele,limbat
sejenis ikan lele yang yang besar dan kuning warnanya,momah
"sejenis ikan yang hidup di air tawar, seperti di danau, sungai, dan kolam",haporas
sejenis ikat,rambat
sejenis ikat kepala yang diikat ujung- ujungnya untuk tempat sumpit,rambat
sejenis kacang- kacangan,borong
sejenis kain,jonaga
"sejenis kain batak, biasa digunakan untuk selimut",jonaga
sejenis kain yang digunakan oleh perempuan Simalungun,hatirongga
sejenis kapak,"baliung, tangkei"
"sejenis kapak yang matanya dapat diputar balobas	[balObas]	n	belebas",baliung
"sejenis katak berwarna coklat, berkaki panjang, dan sering dijumpai di sungai",lahui
sejenis kayu,"ampiarawas, ampipira, andehit, andilou, andolog, andorasi, andugur, andupar, balikangin, balintang, biluluk, elabelab, hapolsit, harahkah, hasia, hatilandou, holey, hoting, hulasar, lamuhei, mabar, mampu, meranti, modang, nanggas, pepege, sabal, saloh, sampinur, sibetu, sidorik, sipilit, sitarak, torop, tubung"
sejenis kayu (menurut kepercayaan zaman dahulu kayu sibetu ini dibuat hambatan di bendungan agar jangan dilanggar naga),sibetu
sejenis kayu (yang dipergunakan kulitnya),hulasar
sejenis kayu berbatang besar dan kayunya sangat keras,nanggas
sejenis kayu berdaun lebar getah akarnya merah,mampu
sejenis kayu bergetah dan berdaun lebar,torop
"sejenis kayu kecil, biasanya tumbuh di tanah keras",sibunbun
sejenis kayu keras,juhar
sejenis kayu untuk alat tenun,indit
sejenis kayu untuk kayu bakar,bintatar
sejenis kayu untuk mengayuh,ingul
sejenis kayu untuk pengayuh,ingul
sejenis kayu untuk tenun,indit
sejenis kayu yang batangnya mudah dibelah dan bagus untuk kayu api,sitarak
sejenis kayu yang dapat dijadikan obat,gaenggang
sejenis kayu yang telah dipotong tumbuh kembali,elabelab
sejenis kayu yang tidak banyak dahan selalu dibuat alu,ringguguh
sejenis kecapi,arbap
sejenis keladi,birah
sejenis kelelawar,anting
sejenis kera yang,piuha
sejenis kera yang bentuk wajahnya seperti kucing piuk [piyu?] a lisut,piuha
sejenis kerang besar,halimaga
sejenis kudis yang,tutut
sejenis kudis yang terdapat di kepala manusia,tutut
sejenis kulit kayu,lampisi
sejenis lebah,"balaborngin, guam"
sejenis lebah badannya belang kuning,huramah
sejenis lebah yang halus,guam
sejenis mainan anak-anak,gonta
sejenis mata uang pada,tail
sejenis mata uang pada zaman Belanda,tail
sejenis minyak obat agar jangan lekas tua,jobat
sejenis muntah yang keluar dari mulut bayi apabila kekenyangan minum,intar
sejenis nyanyian,dendang
sejenis pacul,hudali
sejenis pacul untuk mengorek tanah,hudali
sejenis pakis yang sering tumbuh di pinggiran sungai,boniara
sejenis pandan unatuk membuaat tempat sirih,baluam
sejenis penyakit,"buhak, bunsit, darang, peteng"
sejenis penyakit besar perut,bunsit
sejenis penyakit kulit,buhak
sejenis penyakit kulit pada binantang,darang
sejenis penyakit mata yang dibawa sejak lahir,peteng
sejenis penyakit yang membuat kaki gatal dabengkak karena memijak lumpur atau kubangan,gigian
sejenis per,rambang
sejenis per- mainan judi dengan memasuk- kan uang logam ke dalam lubang,rambang
sejenis perangkap,sujuk
sejenis perangkap ikan,sujuk
sejenis permainan,"sampulelet, tuok"
sejenis permainan anak kecil dengan memper- gunakan batu,dara
sejenis permainan judi (menggunakan uang logam),tuok
sejenis piring,jarojak
sejenis piring yang dipakai orang terhormat,jarojak
sejenis pisang,"olang, unsim"
sejenis pisang yang tumbuh liar di hutan dan tidak bisa dimakan,unsim
sejenis pisau,"badik, halasan, torjang"
sejenis pisau yang biasa diselipkan di pinggang,torjang
sejenis pohon,"ansilum, antarsa, baluhur, lanting, motung"
sejenis pohon (semak) yang mirip dengan pohon terong tetapi bercabang tiga,lanting
sejenis pohon buah,ansilum
sejenis pohon kayu,jilok
"sejenis pohon kayu bergetah daunnya lebar, perut daun berwarna hijau, dan punggung daun berwarna putih",motung
sejenis pohon kayu yang daun,bulung
sejenis pohon kayu yang sering dibuat alu,jilok
sejenis pohon palem tetapi tidak berduri,baluhur
sejenis pohon yang buahnya dapat dimakan,hapesong
"sejenis pohon yang keras, tetapi tidak begitu besar batangnya dan bagus untuk gagang pisau",siburnei
sejenis rempah,juragi
sejenis rotan,malnou
sejenis rumput,"angkihi, ansiansi, siboruduma, situnjuk"
sejenis rumput menjalar,tarahuak
sejenis rumput tali yang buahnya ber- warna merah sebesar merica,panduja
sejenis rumput tali yang selalu,dalan
sejenis rumput yang,"hisik, poga"
sejenis rumput yang bisa dijadikan sayuran,poga
"sejenis rumput yang daunnya dapat dibuat lalapan, rasanya agak pahit",situnjuk
sejenis rumput yang menjalar,taruhuah
sejenis rumput yang miangnya dapat menyebabkan gatal,hisik
sejenis rumput yang tumbuh di batu baneipora [banipOra] n sejenis,baneibatu
"sejenis rumput, daun dan akarnya direndam untuk obat panas",sibaguri
sejenis semak,ratus
sejenis semak yang jikalau kering bunganya ber- warna putih dan daunnya dapat terbang jika dihembus angin,ratus
sejenis semut,lamajang
sejenis serangga penyengat,andodot
sejenis tempat cuci tangan yang ter- buat dari bambu,ramboan
sejenis tepung,batarsiang
sejenis tum,sisorlei
sejenis tum- buhan bertali yang daunnya dibuat untuk bahan campuran memasak ikan atau udang,sisorlei
sejenis tum- buhan yang tumbuh di atas kayu,hapias
sejenis tumbuh,paduya
sejenis tumbuh tumbuhan tali buahnya berwarna merah sebesar lada,paduya
sejenis tumbuhan,"andalotung, angkirbung, antik, bandir, biruh, bunbun, bunglei, dang, duma, gumba, hunal"
sejenis tumbuhan berdau lebar,biruh
sejenis tumbuhan berdaun lebar,rajapinayungan
sejenis tumbuhan berdaun sirip majemuk dan daunnya sebagai obat kurap,galinggang
sejenis tumbuhan hutan yang dapat di jadikan ulam,gumba
sejenis tumbuhan pakis,bandir
sejenis tumbuhan untuk membuat atap,banban
sejenis tumbuhan untuk mewarnai mensiang,dang
sejenis tumbuhan yang dapat dimakan,duma
sejenis tumbuhan yang harum baunya,dilam
sejenis tumbuhan yang tumbuh di atas,hapias
sejenis ubi,antirha
sejenis ulat,"ambirang, hatiboran, huridap"
sejenis ulat kecil,bongei
sejenis ulat yang kecil,bongei
sejenis umbi,hondali
"sejenis umbi yang mempunyai pokok seperti bengkuang tetapi berduri, biasa tumbuh di hutan",hondali
sejenis unggas,layam
sejenis unggas kecil,layam
sekalian,sagala
sekalung,sasinokok
sekarang,"nuan, sonari"
sekelompok orang yang meng- urus dan memimpin per- kumpulan (partai dan sebagai- nya),maujana
sekepal,sanghopol
sekerat,"sanghorot, sanghorot "
sekiranya,"pori, sahira"
sekolah,sikolah
sekonyong,julnong
sekonyong- konyong,julnong
sekrup,poilar
sekuat,sagogoh
sekurang,agendo
sekurang- kurangnya,"agendo, gendo"
selalu,"dodas, dorop, gati, irik, mando, tong"
selalu  senantiasa; selamanya;   sering; terus menerus; tidak pernah tidak,gati
selalu mengikuti,irik
selam,honong
selam; ,honong
selama,"sadokah, sadokah "
selamat,horas
selangkang; antara dua paha halangulu   [halaGulu]   n   bantal,halangkang
selatan,dangsina
selatan (arah mata angin),dangsina
selendang,salendang
selesai,"dob, losei, otur, sahei, salpu, siap, torsa"
selidik,"odong, ondong"
selimut,"gobar, sabei, sabing, salimut, uhub"
selimut atau kain khas,ulos
selimut atau kain khas Batak,ulos
selip,silip
seloroh,gular
semacam,"bajaronggi, hisir, itom, kahombu, landoyung, mampat, morbou, parakpak, ringgubug, saringkut"
semacam dun seledri,bajaronggi
semacam jurang,hondot
semacam kayu,"mampat, morbou, rindung, ringgubug, saringkut"
semacam kayu kalau dicampur dengan kapur sirih merah warnanya,kahombu
semacam kayu keras yang tumbuh di tanah yang keras dan berbunga wangi,parakpak
semacam kayu yang bergetah,rubei
semacam kumbuh,loging
semacam pakaian anak-anak terletak pada leher,horungkorung
semacam rempah,lamuju
semacam semut rayap,hatinongnong
semacam seruling,tulila
semacam seruling (dari bambu),tulila
semacam tali,tumbeng
semacam tali yang dibuat dari akar tumbuhan,tumbeng
semacam tumbuhan,loha
semacam tumbuhan untuk tali,baruh
semacamsemutrayap,hatinongnong
semai,samei
semak,"duru, halong, halput, naporon"
semak;  v bersemak,halong
semakin,"lambin, mumbag"
semakin besar,mumbag
semakin gemetar,manghitir 
semakin ke ujung,hujub
semakin ke ujung semakin runcing dan layu,hujub
semakin lembut,hunlamlam 
semakin;  kian bertambah,lambin
semak-semak,duru
semalam,saborngin
semangka,"mandihei, mendihei"
semarga,pangkou
semarga (me- miliki keturunan yang sama),pangkou
sembah,"rogop, sombah, sumbah"
sembahan,sahala
sembam,"sombam, sumsam"
sembarang,ansisi
sembarangan,lasam
sembarangan dalam ucapan dan tindakan,lasam
sembelih,"hoyok, otos, sekoh, sigoh, tagil"
sembilan,siah
sembilu,sambilu
sembuh,"huyah, malum"
sembuhkan,"huyahon, huyahon "
sembunyi,"buni, muni, pojon, suni"
sembunyi; ,muni
sembunyikan,bunihon 
sembur,sampik
semir,simir
semoga,naenei
sempat,sompat
sempit,"hobot, hopit, pihik, pisot, sompit, susat"
semprong (kaca lampu),semporong
semua,sorba
semua bagi rata,seer
semua ber- gerak (seperti lebah di sarangnya),hulosor
semua bergerak,hulosor
semua jenis burung,hampilis
semua jenis tumbuhan,hampidi
semuanya,payo
semut,porkis
senam,sonam
senang,"piah, sonang"
senang hati,medan
senang hati; betah; kerasan,medan
senantiasa,tongtong
senapan,bodil
sendiri,sandiri
sendirian,elangelang
sendok,sonduk
sendok (nasi),sonduk
sendok nasi yang,sebok
sendok nasi yang terbuat dari tempurung,sebok
sengaja,"tuntun, utus"
sengat,sorod
sengat (pada lebah atau tawon),sorod
sengau,ngul
senggulung,umpong
senggulung umung [umuG] n ulat dalam air umur [umur] n umur,umpong
sengit,songit
sengon,sengon
sengsara,"dagos, marsik, modar, odar, paet"
senja,"samon, samun"
senja buta,lotir
senja buta; gelap gulita,lotir
senjata,sinjata
sentak,"rota, sintak, untor"
sentuh,"dorab, tumbuk"
senyum,"senggeh, sirom"
seorang diri,juei
sepah,"sampah, sopah"
sepak,"ampit, bintih, sipak"
sepak raga rotan,hotang
sepakan,"sipakan, sipakan "
sepala,sapala
sepala-pala,sapala
sepasang,sapasang 
sepatah kata,baba
sepatu,sipatu
sepeda,lereng
sepelukan (tentang ukuran),sandumahop
seperempat,"saparopat, saparopat "
seperenam,"saparonom, saparonom "
seperkara,sapahara
seperti,songon
seperti ; mirip,songon
seperti ini,songonin
seperti itu,"naima, songonon"
sepetak,sapetak
sepi,dangor
sepotong,holuran
sepotong bambu berbentuk pipa yang ke dalamnya dimasukkan tali pengikat ternak agar ternak tersebut tidak bisa menggigiti tali pengikatnya,holuran
sepuh,sopuh
sepuluh banding satu (,gundal
sepuluh kaleng,nalih
serah,"ondas, ondos"
serahan,ondosan
serahkan,ondoskon
serak,tartar
serakkan,saburhon
serakkan abur,saburhon 
seram,"perang, sorgi"
serambi,surambih
serangga busuk,antinganou
seraup,nangging
seraut,alging
serba kotor,legut
serdam,sordam
serdawa,terab
seret,mosos
sergap,"polgap, tingkup"
seri,sori
sering,"hotah, masakah, pigo"
sering digunakan,ojal
serkah,riga
serong,sayung
seruling,sulim
serupa,"upat, usih"
serupa buruk,santun
sesak,"mongkap, pinjot, ponjot, sosak, targok"
sesal,"bilang, sosal"
sesama,sapih
sesat,"hahou, kahou"
sesuap,"algup, sangkababah "
sesuatu,"borkoshon, sabion, sumbahan"
sesuatu yang,"anggir, mahar"
sesuatu yang akan dibuat,sibahenon 
sesuatu yang akan diikat,borkoshon
"sesuatu yang dipakai untuk keramas (jeruk purut, bunga-bung dll)",anggir
sesuatu yang ditumbuk sudah dapat ditampi,mahar
sesudah,dung
sesudah itu,sai
setelah,honsi
setempat,sahundulan
setempat duduk,sahundulan
seterusnya,manipat
setiap,ari
setubuh,tetet
sewa,"sasih, tambang"
sia,ogor
sial,sial
siam,siam
siamang,"imbou, kiahkiah"
siang,"arian, siang"
siang hari,matas
siap sedia,sirsir
siapa,ise
sibak,"sebak, sitabolan"
sibak rambut,sitabolan
sibuk,"halut, haragatanni, hensang, hosei, humalaput"
sibuk; tidak pernah diam,hensang
sifat,doharling
sifat (suatu benda selalu pecah jika dipegang),doharling
sigap,hisar
sikap,gopas
sikap; tabiat,gopas
siksa,arsik
siku,"antalis, siku, tuhul"
silap,simbei
silau,melap
silsilah,tarombo
silsilah (ten- tang keluarga),tarombo
simpai,"langgu, rompa, ronggit"
simpan,"alimi, olom, ponop"
simpanan,"alimian , ponopan "
simpankan,ponopkon 
simpul,pudun
sinar,"sinalsal, sindar"
sindir,"pantun, sember"
sindir; ,pantun
sindiran,indorop
singgah,"singgah, tului"
singkap,singkap
sipi,talbis
siput,"langkitang, nansungguh"
siput kecil yang hidup di dalam air nantigan  [nantigan]  pron  kapan,nansungguh
siram,pispi
sirat,sorot
sirih,"arto, demban, puran"
sirip,ipis
sisa,"halesa, pangharatan, rikah, rimpusu, sisa, sulei, teba, todei"
sisa air hujan,namur
sisa air hujan yang tertinggal di rerumputan pinggir jalan,namur
sisi atau,dompak
sisi atau bidang sebelah depan; ,dompak
sisik,sisik
sisip,"solot, ulbuk"
sisip (tentang tanaman),ulbuk
sisir,surui
soda,gusar
sodor,"surduk, tidur"
sokong,"sohad, tungkol"
sombong,"apas, arsang, juarih, lansat"
sopan,"supan, tipak"
sorak,"ihe, olob"
sore,langat
sorot,okang
suami,"amang , namangalop"
suap,"sisip, sulang"
suara,"alal, aloling, gibig, sora"
suara  lompatan binatang di hutan atau semak- semak,jus
suara agak tinggi,reng
suara air yang dituang,gedek
suara anak korek api dinyalakan,jer
suara bambu,dotong
suara bambu kosong yang dijinjing,dotong
suara bedil,"baig, dutub"
suara benda jatuh,bar
suara benda masuk air,jur
suara benda yang,"dopuk, labas, par"
suara benda yang jatuh lembut; tidak keras,labas
suara benda yang meletus,par
suara benda yang pecah,dopuk
suara binatang yang,paus
suara binatang yang melompat dengan tiba-tiba dan terburu-buru,paus
suara burung,kakak
suara burung (suara orang yang ketawa kuat- kuat),kakak
suara cangkul,job
suara dencing,deteng
suara desing,deseng
suara gedebug,libig
suara gedebug;  gedebug,libig
suara gemuruh,gorob
suara gemuruh; ,gorob
suara jatuh ke dalam sungai,bur
suara jatuh ke sungai,bur
suara kayu yang,dotur
suara kayu yang tumbang,dotur
suara kilat,jep
suara lembu,umboh
suara letusan,purpar
suara letusan bambu,purpar
suara lompatan,bais
suara melangkah,ngais
suara melangkah atau melompat (yang terdengar tiba-tiba),ngais
suara menyayat sesuatu,ses
suara orang muntah,"oak, ojak"
suara petir,bair
suara pukulan,big
suara sesuatu yang ditarik tiba-tiba,jis
suara tembakan,lasak
suara untuk,hurha
suara untuk memanggil ayam,hurha
suara yang,"depang, landur, rumbung"
suara yang besar,rumbung
suara yang dibuat-buat,depang
suara yang ditarik dengan tiba-tiba,jis
suara yang mengejutkan,sis
suara yang merdu,landur
suasa,suasah
suatu tiruan bunyi,bop
subur,"gabug, gobug"
sudah,"bakarasan, domma, dop, ima"
sudah buruk,musang
sudah dapat dipanen parik,tarpariama 
sudah diberi berean,tarbere 
sudah jauh,limpot
sudah mati,hanjal
sudah tersiram,mabur
sudah tua,bakarasan
sudahlah,ehe
sudut,suhi
suka,"bibir, oji, rosuh, sir"
suka atau gemar menyanyi,madoding 
suka bergosip,dilahhon 
suka memandang rendah pada orang lain,mapas
suka mengambil,"himut, humit"
suka mengambil barang orang,humit
suka naik,gagah
suku  batak,batak
suku batak,batak
sulah,lepong
sulah; botak; gundul,lepong
sulit,payah
suluh,"pondang, rigap"
suluh; pelita,pondang
sulung,kahan
sumbang,rubing
sumbat,sumpol
sumbing,"dungil, ramping, ropang, rubing"
sumpah,"bija, bura"
sumpit,"haronduk, ultop"
sumpit kecil yang terbuat dari perut bambu,haronduk
sunat,"sopit, sunat"
sungai,"bah, binanga"
suntik,"sasar, turgis"
suntil,suntil
suntuk,sundol
sunyi,"lawang, lungun"
sunyi; lengang; sepi,lawang
supaya,ase
surat,"ayat, surat"
surat kaleng,pulas
surat; ayat,ayat
suratan tangan,rotak ni tangan 
suruh,suruh
suruk,suruk
surut,undur
susah,"gaduh, galut, habut, hajap, haru, ngalut"
susah bergerak,randung
susah bergerak (karena kebanyakan beban),randung
susu,"adop, dadih"
susun dengan me- nimpa,lopik
susun dengan menimpa,lopik
susut,rojog
syabas,sabas
syarat,sarat
syukuran,saru
syukuran (pesta syukur),saru
tabiat,"baha, biak"
tabung,tagan
tabung bambu,tunggom
tabung bambu tempat tuak atau nira,tunggom
tabur,"erab, sampak, tirtir"
tadah,tedek
tadi,nongkan
tagih,"tagih, tunggu"
tahan,"taban, tahan, tehan, togong"
tahan diri,orom
tahan diri; tahan selera,orom
tahan napas,untong
tahbis,samoja
tahi,tois
tahi anak bayi,angir
tahi lalat,"landong, landung"
tahi lalat; bintil hitam pd kulit; noda hitam pd kulit,landong
tahi mata,"bilas, poyok"
tahu,botoh
tahun,taun
tajak,tajak
tajam,"bil, dejeb, insur, limar, marot"
taji,tadi
tak enak,maharsa
tak enak makan; tak enak rasa lidah,maharsa
tak kena,leset
tak kena; tak tepat,leset
tak mendapat,liah
tak sama disayangi ligah [ligah] v pecah,ligah
tak tentu per,maor
tak tentu per- jalanannya,maor
takabur,pasul
takar,"hunsa, suhat"
takaran,suhatan
takaran beras,supak
"takaran beras yang terbuat dari tempurung kelapa yang isinya sekitar , liter",supak
taksir; menaksir,monggor
takut,mabiyar
